id,name,intervals,partner,retrograde_of,degenerate,reduces_to,berliner,row_forms,palindromic,literal_span_semitones,bounded_span_semitones
6-47I,P5-m6-m6-M7-m7-m7,"7 8 8 11 10 10",6-47,6-119,false,,6-28,24,false,108,11
6-48,m2-M2-M2-P4-m7-m7,"1 2 2 5 10 10",6-48I,6-237I,false,,6-29,24,false,60,11
6-48I,M2-M2-M7-m7-m7-P5,"2 2 11 10 10 7",6-48,6-237,false,,6-29,24,false,84,11
6-49,m2-M2-M2-M6-M2-M2,"1 2 2 9 2 2",6-49I,6-49I,false,,6-30,12,true,36,11
6-49I,m3-m7-m7-M7-m7-m7,"3 10 10 11 10 10",6-49,6-49,false,,6-30,12,true,108,11
6-50,m2-M2-M2-M6-m6-m6,"1 2 2 9 8 8",6-50I,6-194I,false,,6-31,24,false,60,11
6-50I,m3-M3-M3-M7-m7-m7,"3 4 4 11 10 10",6-50,6-194,false,,6-31,24,false,84,11
6-51,m2-M2-M2-M7-M3-m7,"1 2 2 11 4 10",6-51I,6-229I,false,,6-32,24,false,60,11
6-51I,m2-m6-M2-M7-m7-m7,"1 8 2 11 10 10",6-51,6-229,false,,6-32,24,false,84,11
6-52,m2-M2-M2-M7-m7-M3,"1 2 2 11 10 4",6-52I,6-143I,false,,6-33,24,false,60,11
6-52I,m2-M2-m6-M7-m7-m7,"1 2 8 11 10 10",6-52,6-143,false,,6-33,24,false,84,11
6-53,m2-M2-P4-M2-m2-P5,"1 2 5 2 1 7",6-53I,6-53I,false,,6-34,12,true,36,11
6-53I,P4-M7-m7-P5-m7-M7,"5 11 10 7 10 11",6-53,6-53,false,,6-34,12,true,108,11
6-54,m2-M2-P4-m3-P4-M2,"1 2 5 3 5 2",6-54I,6-54I,false,,6-35,12,true,36,11
6-54I,P5-M6-P5-m7-M7-m7,"7 9 7 10 11 10",6-54,6-54,false,,6-35,12,true,108,11
6-55,m2-M2-P4-m3-M7-m6,"1 2 5 3 11 8",6-55I,6-196I,false,,6-36,24,false,60,11
6-55I,m2-M3-M7-m7-P5-M6,"1 4 11 10 7 9",6-55,6-196,false,,6-36,24,false,84,11
6-56,m2-M2-P4-m6-P5-P5,"1 2 5 8 7 7",6-56I,6-164I,false,,6-37,24,false,60,11
6-56I,M3-P4-P4-M7-m7-P5,"4 5 5 11 10 7",6-56,6-164,false,,6-37,24,false,84,11
6-57,m2-M2-P4-M6-P4-m6,"1 2 5 9 5 8",6-57I,6-184I,false,,6-38,24,false,60,11
6-57I,m3-P5-M3-M7-m7-P5,"3 7 4 11 10 7",6-57,6-184,false,,6-38,24,false,84,11
6-58,m2-M2-P4-M6-M7-M2,"1 2 5 9 11 2",6-58I,6-76I,false,,6-39,24,false,60,11
6-58I,m2-m7-M7-m7-P5-m3,"1 10 11 10 7 3",6-58,6-76,false,,6-39,24,false,84,11
6-59,m2-M2-P5-m2-m3-M3,"1 2 7 1 3 4",6-59I,6-112I,false,,6-40,24,false,36,11
6-59I,P4-M7-M6-m6-M7-m7,"5 11 9 8 11 10",6-59,6-112,false,,6-40,24,false,108,11
6-60,m2-M2-P5-m2-M6-m7,"1 2 7 1 9 10",6-60I,6-150I,false,,6-41,24,false,60,11
